name,count
南陇侯,683
蟹道人,377
大衍神君,339
极阴祖师,320
寒骊上人,287
敖啸老祖,252
青龙上人,218
银光仙子,173
至阳上人,172
紫灵仙子,162
令狐老祖,137
血光圣祖,101
几位长老,91
花石老祖,90
苍坤上人,89
万花夫人,84
冰魄仙子,82
天晶真人,79
清平道人,79
合欢老魔,76
玄骨上人,76
元魇圣祖,70
太上长老,70
元刹圣祖,64
金光上人,61
七妙真人,53
婴期老怪,51
付家老祖,50
地血老怪,49
燕家老祖,46
万骨真人,44
四散真人,43
三全道人,42
妙鹤真人,42
华西仙子,41
族大长老,38
青易居士,38
晓风仙子,37
极阴老祖,37
宗大长老,34
宝花圣祖,34
渊城长老,34
绿石老祖,34
蓝瀑圣祖,34
两位长老,33
林鸾仙子,33
罗宗长老,32
金花老祖,31
乌灵夫人,30
赤火老怪,29
云宗长老,27
岳华仙子,21
族中长老,21
云露老魔,20
家大长老,20
玲珑仙子,19
银鲨居士,19
位大长老,18
南宫师祖,18
着蟹道人,18
鹏族长老,18
冲蟹道人,17
宫大长老,17
玄骨老魔,17
邪莲圣祖,17
青颜真人,17
圣岛长老,16
时大长老,16
碎魂真人,16
诸位长老,16
几名长老,15
天恨老怪,15
凌源圣祖,14
执法长老,14
门大长老,13
天蝉大师,12
灵门长老,12
狂沙上人,12
体期长老,11
元智大师,11
南宫仙子,11
烈火老怪,11
石心老祖,11
创派祖师,10
圣门长老,10
泣灵圣祖,10
联席长老,10
金越大师,10
位韩长老,9
摩鸠大师,9
极宫长老,9
莹仙子,9
雷罗长老,9
三位长老,8
三大长老,8
代大长老,8
令狐老怪,8
位石仙子,8
婴级长老,8
戚长老,8
本长老,8
涅盘圣祖,8
灵云夫人,8
两个老怪,7
两个老魔,7
乘期老祖,7
六极圣祖,7
加入长老,7
天黎仙子,7
妃仙子,7
婴期长老,7
泣灵老祖,7
炼器大师,7
邰夫人,7
钟姓长老,7
雷罗真人,7
霓裳仙子,7
龙族长老,7
三名长老,6
三阳老魔,6
两名长老,6
二位长老,6
任大长老,6
位李师祖,6
位白仙子,6
位赵长老,6
体期老怪,6
几位夫人,6
出两道人,6
千灵仙子,6
圣界圣祖,6
天符真人,6
极门长老,6
然柳仙子,6
看仙子,6
苦桑大师,6
藏老怪,6
西门长老,6
覆天居士,6
万兽圣祖,5
三阳上人,5
位吕长老,5
位蛊道人,5
刘夫人,5
到时侯,5
千宝上人,5
千秋仙子,5
呼蟹道人,5
四位长老,5
妖族长老,5
宗四长老,5
数名长老,5
本真人,5
炼丹大师,5
金仙子,5
黄沙老怪,5
两族长老,4
乌夫人,4
乘期老怪,4
位方夫人,4
位王长老,4
位苗长老,4
几位老魔,4
几名老怪,4
出乾老魔,4
到范夫人,4
外界圣祖,4
大眼神君,4
天上仙子,4
幽宗长老,4
开派祖师,4
文仙子,4
新进长老,4
月宗师祖,4
本门祖师,4
李祖师,4
极阴老魔,4
监察长老,4
紫云上人,4
血晶上人,4
金鼓长老,4
门中长老,4
七绝上人,3
万华夫人,3
三个老魔,3
两位仙子,3
严夫人,3
中期长老,3
丹期长老,3
九幻老怪,3
二位仙子,3
云大长老,3
仿若真人,3
位三夫人,3
位乾老魔,3
位于大师,3
位古长老,3
位晖长老,3
位金长老,3
冥罗圣祖,3
冲范夫人,3
几位圣祖,3
到蟹道人,3
卿大长老,3
原配夫人,3
后期老怪,3
唐长老,3
城中长老,3
大神君,3
奉大长老,3
妍仙子,3
婴期老魔,3
宗门长老,3
当老魔,3
恭喜仙子,3
明馨仙子,3
晖姓长老,3
月华仙子,3
本宫长老,3
本门师祖,3
本门长老,3
来叶仙子,3
极阴老怪,3
枫谷长老,3
某个老怪,3
烟雨真人,3
然蟹道人,3
燕仙子,3
白长老,3
着三道人,3
着两道人,3
禀大长老,3
红脸长老,3
罗仙子,3
老家老祖,3
老牌圣祖,3
芊羽仙子,3
葛长老,3
许家长老,3
请老祖,3
贵族长老,3
赤雷老祖,3
陆夫人,3
青溪上人,3
青长老,3
青龙长老,3
韩大长老,3
韩老祖,3
鸣老魔,3
三位仙子,2
三大圣祖,2
上大长老,2
两位师祖,2
两名圣祖,2
两名老祖,2
么时侯,2
二长老,2
五大长老,2
们宇师祖,2
众多长老,2
传来老魔,2
位云长老,2
位叶仙子,2
位樱仙子,2
位温夫人,2
位玉真人,2
位纤仙子,2
位范夫人,2
位金老怪,2
位风老怪,2
位马长老,2
傲啸老祖,2
像月仙子,2
公侯,2
内大长老,2
内宫长老,2
再加上人,2
冰凤仙子,2
冲谷长老,2
几位师祖,2
几名圣祖,2
凤夫人,2
凤灵仙子,2
凭大长老,2
出数道人,2
创立祖师,2
到乾老魔,2
制符大师,2
前蟹道人,2
南宫长老,2
原先侯,2
去李长老,2
参天真人,2
参见圣祖,2
发程长老,2
古仙子,2
各族长老,2
名许仙子,2
后期长老,2
启禀师祖,2
哪位长老,2
围着老魔,2
地金老怪,2
外两道人,2
外门长老,2
多少老怪,2
天晶上人,2
天鸦老祖,2
女两道人,2
妖族老祖,2
婴级老怪,2
子寒长老,2
孔家老祖,2
宗韩长老,2
宫中长老,2
家主长老,2
家那老怪,2
寒上人,2
尊级长老,2
巧院长老,2
幻羽长老,2
异界老祖,2
张夫人,2
当老怪,2
心凤长老,2
怕乾老魔,2
恭喜圣祖,2
恭迎圣祖,2
恭迎老祖,2
悦等长老,2
房老魔,2
掌门长老,2
接着老魔,2
散修老怪,2
族金长老,2
明夫人,2
普通长老,2
月宗祖师,2
月宗长老,2
月宫仙子,2
本宗长老,2
本派祖师,2
本盟长老,2
来乾老魔,2
极阴师祖,2
枯寂圣祖,2
某位夫人,2
楚蟹道人,2
段长老,2
比不上人,2
沙老夫人,2
浮在老魔,2
海宫长老,2
海那老怪,2
炼器长老,2
然凤仙子,2
然大长老,2
然纤仙子,2
然许老怪,2
照大长老,2
玉华夫人,2
玉灵仙子,2
珑梦仙子,2
甚至圣祖,2
白家老祖,2
白骨真人,2
直奔老魔,2
着三夫人,2
矮两道人,2
石蝶仙子,2
石魔长老,2
穹坤上人,2
立蟹道人,2
符门长老,2
红云长老,2
美艳夫人,2
老金老怪,2
花仙子,2
苦修长老,2
莫老怪,2
褚长老,2
覆天仙子,2
请长老,2
谷云长老,2
贵门长老,2
趁老魔,2
金老魔,2
银仙子,2
门鲁长老,2
雪天圣祖,2
骊大长老,2
鲁姓长老,2
鼠族长老,2
龙大长老,2
七位长老,1
万古真人,1
三个老怪,1
三位师祖,1
三名老魔,1
三族长老,1
三老魔,1
三阳祖师,1
上乾老魔,1
上代长老,1
上众长老,1
上到长老,1
上古老魔,1
上李师祖,1
上次祖师,1
上碧仙子,1
上蟹道人,1
上那圣祖,1
下乾老魔,1
下于圣祖,1
下古长老,1
下月仙子,1
下木仙子,1
下木夫人,1
下本圣祖,1
下柳仙子,1
下甲大师,1
下蟹道人,1
下许仙子,1
下赵长老,1
下这老怪,1
下青仙子,1
下马长老,1
丑陋夫人,1
两位圣祖,1
两位老怪,1
两位老魔,1
两具道人,1
两名老怪,1
个地上人,1
个大长老,1
个孔老怪,1
个赵长老,1
中大长老,1
中石长老,1
中许仙子,1
中金老怪,1
中顾长老,1
丹期师祖,1
主事长老,1
主刘真人,1
么心上人,1
么本上人,1
么本老祖,1
么赤老怪,1
之两道人,1
之力老怪,1
乌长老,1
九泪真人,1
予四夫人,1
争过圣祖,1
事大长老,1
二位圣祖,1
二位师祖,1
亏乌仙子,1
亏元仙子,1
云中仙子,1
云露真人,1
云露老怪,1
五名圣祖,1
五长老,1
交予夫人,1
交到仙子,1
交到师祖,1
交由长老,1
享受长老,1
人久侯,1
人苦侯,1
仍在老魔,1
他去长老,1
他四道人,1
仗李师祖,1
付乾老魔,1
付那老魔,1
代表长老,1
令狐祖师,1
们云长老,1
们厉大师,1
们在圣祖,1
们在长老,1
们妇道人,1
众位长老,1
众多老怪,1
会帮仙子,1
会长老,1
传出老魔,1
传功长老,1
位凌老祖,1
位凤仙子,1
位前圣祖,1
位吕师祖,1
位四夫人,1
位女师祖,1
位孔老怪,1
位宋仙子,1
位封长老,1
位月仙子,1
位木夫人,1
位李长老,1
位柳仙子,1
位美夫人,1
位胡夫人,1
位胥长老,1
位萧长老,1
位蓝夫人,1
位许老怪,1
位谷长老,1
位鲁长老,1
位龙夫人,1
住乾老魔,1
住本圣祖,1
住蓝夫人,1
住这老魔,1
住那老魔,1
体级长老,1
佛宗长老,1
你家老祖,1
你李夫人,1
你松老怪,1
你穹老怪,1
你等圣祖,1
你那祖师,1
使乾老魔,1
使吕仙子,1
使呼老魔,1
使蓝夫人,1
使蟹道人,1
使金老怪,1
侃琴真人,1
侏儒道人,1
保证长老,1
信叶仙子,1
信呼老魔,1
信李长老,1
信田仙子,1
信金长老,1
倍以上人,1
候补长老,1
借助仙子,1
倩影真人,1
偏这老魔,1
偏风老怪,1
偷本夫人,1
傀儡大师,1
像乾老魔,1
像力老怪,1
像筱仙子,1
僧到长老,1
儿乾老魔,1
儿听老魔,1
儿范夫人,1
兀人长老,1
元配夫人,1
兄久侯,1
光等圣祖,1
入众老怪,1
入本老祖,1
入此长老,1
公孙老魔,1
六名圣祖,1
六名长老,1
关木夫人,1
其它老魔,1
兽找上人,1
内堂长老,1
再等侯,1
再见夫人,1
冥长老,1
冯姓长老,1
冲三夫人,1
冲众长老,1
冲方夫人,1
冲晖长老,1
冲月仙子,1
冲本圣祖,1
冲许仙子,1
冲金长老,1
冲风老怪,1
冷五夫人,1
冷脸长老,1
冻结老魔,1
